,,,,,,,,,,,F1 from Challenge,,,,,,,,,,,,,F1 for Special Issue,,,Improvement from Challenge to Sepcial Issue,Best F1,Best F1 (2dpl),rank,
F1N-VAL-OLD,F1A-VAL-OLD,F1O-VAL-OLD,F1-VAL-OLD,F1N-TRN-OLD,F1A-TRN-OLD,F1O-TRN-OLD,F1-TRN-OLD,F1N-TST-OLD,F1A-TST-OLD,F1O-TST-OLD,F1-TST-OLD,ENTRY-NUM-OLD,F1N-VAL-NEW,F1A-VAL-NEW,F1O-VAL-NEW,F1-VAL-NEW,F1N-TRN-NEW,F1A-TRN-NEW,F1O-TRN-NEW,F1-TRN-NEW,F1N-TST-NEW,F1A-TST-NEW,F1O-TST-NEW,F1-TST-NEW,ENTRY-NUM-NEW,AUTHORS,(From Challenge to Special Issue),over Challenge and Special Issue,,,
0.9329,0.9574,0.8462,0.9122,0.9372,0.8977,0.843,0.8926,0.903,0.8547,0.7366,0.8314,220,0.9246,0.913,0.8197,0.8858,------,------,------,------,0.9206,0.8567,0.7656,0.8476,304,Tomás Teijeiro; Constantino A. García; Paulo Félix; Daniel Castro,0.0162,0.8476,0.85,1,
0.955,0.9895,0.9242,0.9562,0.958,0.9355,0.9112,0.9349,0.8997,0.8272,0.7178,0.8149,205,1,1,1,1,------,------,------,------,0.9084,0.8414,0.7451,0.8316,323,Martin Kropf; Dieter Hayn; Günter Schreier,0.0167,0.8316,0.83,2,
0.9272,0.9462,0.832,0.9018,0.9328,0.8836,0.8378,0.8847,0.9118,0.784,0.7393,0.8117,213,0.9211,0.9032,0.8,0.8748,------,------,------,------,0.9196,0.8239,0.7465,0.83,301,Maurizio Varanini; Lucia Billeci,0.0183,0.83,0.83,2,
0.9966,0.9895,0.9846,0.9902,0.9931,0.9385,0.9772,0.9696,0.9158,0.8225,0.7498,0.8294,209,______,______,______,______,______,______,______,______,______,______,______,______,___,Shreyasi Datta; Chetanya Puri; Ayan Mukherjee; Rohan Banerjee; Anirban Dutta Choudhury; Arijit Ukil; Soma Bandyopadhyay; Rituraj Singh; Arpan Pal; Sundeep Khandelwal,#VALUE!,0.8294,0.83,2,
0.953,0.9583,0.8594,0.9236,0.9561,0.9159,0.9035,0.9252,0.9054,0.8021,0.736,0.8145,210,0.9559,0.9684,0.8923,0.9389,------,------,------,------,0.9151,0.8247,0.7437,0.8278,304,Filip Plesinger; Petr Nejedly; Josef Halamek; Ivo Viscor; Pavel Jurak,0.0133,0.8278,0.83,2,
0.9439,0.9111,0.8527,0.9026,0.9408,0.8887,0.8571,0.8955,0.9098,0.8239,0.7489,0.8275,209,______,______,______,______,______,______,______,______,______,______,______,______,___,Ruhi Mahajan; Oguz Akbilgic; Rishikesan Kamaleswaran; J.Andrew Howe,#VALUE!,0.8275,0.83,2,
0.9799,0.9792,0.9449,0.968,0.9813,0.925,0.9468,0.9511,0.9087,0.8351,0.7341,0.8259,208,______,______,______,______,______,______,______,______,______,______,______,______,___,Morteza Zabihi; Ali Bahrami Rad,#VALUE!,0.8259,0.83,2,
0.9932,0.9895,0.9771,0.9866,0.9924,0.9385,0.9758,0.9689,0.9117,0.8128,0.7505,0.825,221,______,______,______,______,______,______,______,______,______,______,______,______,___,Shenda Hong; Yuxi Zhou; Qingyun Wang; Meng Wu; Junyuan Shang,#VALUE!,0.825,0.83,2,
0.9966,0.9895,0.9846,0.9902,0.9777,0.9086,0.9393,0.9419,0.9086,0.8101,0.7037,0.8075,240,0.9966,1,0.9924,0.9963,------,------,------,------,0.9142,0.8153,0.737,0.8222,307,Marcus Vollmer; Philipp Sodmann; Neetika Nath; Leonard Caanitz,0.0147,0.8222,0.82,9,
0.9061,0.9032,0.768,0.8591,0.9899,0.9331,0.9708,0.9646,0.9107,0.825,0.7299,0.8218,208,______,______,______,______,______,______,______,______,______,______,______,______,___,Mohammed Baydoun; Lise Safatly; Hassan Ghaziri; Ali El-Hajj,#VALUE!,0.8218,0.82,9,
0.9091,0.9032,0.797,0.8698,0.9254,0.8787,0.82,0.8747,0.9112,0.8191,0.7328,0.821,211,______,______,______,______,______,______,______,______,______,______,______,______,___,Guangyu Bin; Minggang Shao; Jiao Huang; Guanghong Bin,#VALUE!,0.821,0.82,9,
0.9404,0.9684,0.8293,0.9127,0.927,0.9128,0.8267,0.8888,0.909,0.8221,0.7319,0.821,209,______,______,______,______,______,______,______,______,______,______,______,______,___,Martin Zihlmann; Michael Tschannen; Dmytro Perekrestenko,#VALUE!,0.821,0.82,9,
0.8993,0.8936,0.7007,0.8312,0.9284,0.8396,0.815,0.861,0.8993,0.7935,0.7035,0.7988,204,0.9241,0.913,0.782,0.873,------,------,------,------,0.9028,0.8221,0.7324,0.8191,303,Philip A. Warrick; Masun Nabhan Homsi,0.0203,0.8191,0.82,9,
