"Rank","Score (rounded)","Training","Entry number","Closed","Authors"
1,0.83,0.8926,220,,"Tomás Teijeiro; Constantino A. García; Paulo Félix; Daniel Castro"
1,0.83,0.9696,209,,"Shreyasi Datta; Chetanya Puri; Ayan Mukherjee; Rohan Banerjee; Anirban Dutta Choudhury; Arijit Ukil; Soma Bandyopadhyay; Rituraj Singh; Arpan Pal; Sundeep Khandelwal"
1,0.83,0.9511,208,,"Morteza Zabihi; Ali Bahrami Rad"
1,0.83,0.9689,221,,"Shenda Hong; Yuxi Zhou; Qingyun Wang; Meng Wu; Junyuan Shang"
5,0.82,0.9646,208,,"Mohammed Baydoun; Lise Safatly; Hassan Ghaziri; Ali El-Hajj"
5,0.82,0.8888,209,,"Martin Zihlmann; Michael Tschannen; Dmytro Perekrestenko"
5,0.82,0.8747,211,,"Guangyu Bin; Minggang Shao; Jiao Huang; Guanghong Bin"
5,0.82,0.8770,282,,"Zhaohan Xiong; Dr Jichao Zhao"
9,0.81,0.9349,205,,"Martin Kropf; Dieter Hayn; Günter Schreier"
9,0.81,0.9252,210,,"Filip Plesinger; Petr Nejedly; Josef Halamek; Ivo Viscor; Pavel Jurak"
9,0.81,0.9696,254,,"Sebastian D. Goodfellow; Dr. Danny Eytan; Andrew Goodwin; Robert Greer; Dr. Peter Laussen; Dr. Mjaye Mazwi"
9,0.81,0.8847,213,,"Maurizio Varanini; Lucia Billeci"
9,0.81,0.9644,210,,"Ashish Sharma; Dr Shivnarayan Patidar"
9,0.81,0.8395,213,,"Radovan Smíšek; Lukáš Smital; Martin Vítek; Marina Ronzhina; Jakub Hejč; Andrea Němcová; Lucie Maršánová; Jiří Chmelík; Jana Kolářová; Ivo Provazník"
9,0.81,0.9031,276,,"Chen Yao; Liu Dayiheng; Cheng dongdong; Hu Wei; Xu Kun; Yang Kexin; Wang Jian; Jiang Zhe"
9,0.81,0.9419,240,,"Marcus Vollmer; Philipp Sodmann; Neetika Nath; Leonard Caanitz"
9,0.81,0.8913,206,,"Dawid Smoleń"
18,0.80,0.7802,202,,"Chen Jiayu; Nigel Lovell; Stephen Redmond; Heba Khamis"
18,0.80,0.8422,214,,"Joachim A. Behar; Aviv Rosenberg; Yael Yaniv; Julien Oster"
18,0.80,0.7960,204,,"Ivaylo Christov; Vessela Krasteva; Iana Simova; Tatyana Neycheva; Ramun Schmid"
18,0.80,0.9121,208,,"Dionisije Sopic; Elisabetta De Giovanni; Amir Aminifar; David Atienza"
18,0.80,0.8610,204,,"Philip A. Warrick; Masun Nabhan Homsi"
18,0.80,0.8750,226,,"Jonathan Rubin; Saman Parvaneh; Asif Rahman; Saeed Babaeizadeh; Bryan Conroy"
